nai
                   1              2              3              4              5 
25       -0.25331686     0.59678072    -1.01969105    -0.24437489    -0.19502315 
26        0.21967899    -2.07929010    -1.19241724     0.27504708     2.65379459 
27       -0.81280428     0.36038537    -0.07411135    -1.96315472    -0.13751102 
28       -1.02065883     2.67769846     0.00000000    -1.04400624    -1.37400382 
29       -0.99529040     2.79513395     0.00000000    -1.04780023    -2.07398053 
30       -1.04680960     3.94406327     0.00000000    -1.44649487    -3.15834307 
31       -0.38710959     2.13398080     0.00000000    -0.74096695    -2.11825174 
32       -1.71581817    -0.38016067     0.00000000    -0.48728646     1.17019051 
33        0.00000000     0.00000000    -1.65163923     0.00000000     2.02683050 
34       -0.87732878    -0.59053099     0.00000000    -1.39514100     0.94916270 
35       -0.97261087    -1.24476787     0.00000000    -0.63466891     1.50736658 
36        0.00000000     0.00000000    -2.95232278     0.00000000     2.61083691 
37       -1.43842266    -0.79134990     0.00000000    -2.58999990     1.21495291 
38       -0.18883944    -1.35824257     0.00000000    -0.25727373     0.63559740 
39        0.00000000     0.00000000    -2.08547218     0.00000000     1.10088759 
40       -0.63861335    -0.33266024     0.00000000    -1.93231214     0.51028729 
41        0.00000000     0.00000000    -1.50084987     0.00000000    -1.43833501 
42        0.00000000     0.00000000     0.70640456     0.00000000    -1.14966923 
43        1.20497768     0.67531867     0.00000000     0.83093532     0.66275123 
44       -1.70418664     0.30973056     0.00000000    -1.38503772    -0.66376148 
45       -0.55496219    -1.14461261     0.00000000    -0.17140324     0.83042401 
46        0.00000000     0.00000000    -0.67061155     0.00000000    -1.37626373 
47        0.00000000     0.00000000     0.35336686     0.00000000    -1.10512926 
48        1.50842851     0.25020465     0.00000000     0.41525316     0.63711247 
49       -1.35629962     0.09829871     0.00000000    -0.60621882    -0.63804634 
50       -1.15511200    -0.47031704     0.00000000    -0.10913362     0.79458710 
                  11             12             13             14             15 
1        -1.62488554    -1.21898214    -0.74425924    -0.56018024    -0.08353714 
2        -2.73547943    -2.18443656    -0.99993134    -0.92137218    -0.21313695 
3        -2.18443676    -2.30474155    -0.34940580    -0.43605295    -0.14251111 
4         1.29789702     0.55233559     1.07216717     0.93217593     0.12429387 
5         0.40527977     0.08456787     0.59980667     0.18767636     0.03284840 
6        -0.21313671    -0.14251094    -0.09059445    -0.09121741    -0.23587809 
7         2.76062179     1.28383303     0.91834533     1.48695105     0.31690646 
8         1.04473012     0.30386274     0.81541839    -0.11627228     0.10953943 
9        -0.31099631    -0.23619035    -0.10038651    -0.13138473    -0.81280454 
10       -3.53354643    -1.51814577    -0.61170939    -1.05951226    -0.43224209 
11       -4.20201169    -2.57087868    -0.53443046    -0.92566116    -0.37474333 
12       -2.57087868    -2.53683976    -0.23824746    -0.41265691    -0.16637346 
13       -0.53443046    -0.23824746    -5.12768310    -0.39066548    -0.16914035 
14       -0.92566116    -0.41265691    -0.39066548    -5.57878522    -0.29295984 
15       -0.37474333    -0.16637346    -0.16914035    -0.29295984    -5.01613947 
16       -0.63040460    -0.41973196    -2.22318094    -0.23625901    -0.10106083 
17       -1.09189328    -0.72699738    -0.23625901    -2.49598962    -0.17504259 
18       -0.40776112    -0.26088272    -0.10106083    -0.17504259    -2.15161908 
19       -1.62488644    -1.21898260    -0.11300081    -0.92463837    -0.08353724 
20       -2.73548008    -2.18443692    -0.29796599    -1.32665248    -0.21313703 
21       -2.18443692    -2.30474169    -0.20292991    -0.52062088    -0.14251113 
22       -0.29796599    -0.20292991    -0.25456912    -0.16618477    -0.03369942 
23        1.32665248     0.52062088     0.16618477     1.51441387     0.12406604 
24       -0.21313703    -0.14251113    -0.03369942    -0.12406604    -0.23587839 
25       -0.47554764    -0.37876340    -0.85457321    -0.20817628    -0.06358925 
26        2.91313376     1.26376329     0.46335598     1.65664625     0.32921881 
27       -0.31099644    -0.23619044    -0.06358925    -0.15262973    -0.81280481 
28       -1.97631064    -0.96337355    -1.30843805    -2.26628240    -1.02066173 
29       -2.48756082    -1.34359055    -1.30705656    -2.26388957    -0.99529166 
30       -4.10808307    -2.47530772    -1.39032730    -2.40811877    -1.04681096 
31       -3.35542720    -2.77017138    -0.53152800    -0.92063396    -0.38711002 
32        0.47007431     0.06438426    -0.46088135     1.92781145     0.85790986 
33        0.81419300     0.11151685     1.92781145     1.76516593     1.48594426 
34        0.44552761     0.09875290     0.89072165     1.54277598    -0.87733039 
35        0.89032116     0.17510993    -1.19314015     1.12170224     0.48630543 
36        1.54208240     0.30329953     1.12170226     0.10209140     0.84230616 
37        0.81939162     0.23665597     0.51885246     0.89867929    -1.43842395 
38        0.67600706     0.27518861    -0.58784146     0.22745600     0.09441970 
39        1.17087927     0.47664100     0.22745601    -0.32519762     0.16353980 
40        0.59026310     0.28852055     0.10569217     0.18306430    -0.63861363 
41       -0.40493810    -0.02966803     1.23060155    -0.02149056    -0.48061104 
42       -0.34926800    -0.03103859    -0.50981258    -0.02078997     1.47586941 
